otu	barcode03	barcode04	barcode02	barcode01	barcode05
6843d3117a4a30692767466ccc1d379c9720a3f8	19928	20930	29242	16000	10744
cd122aa3302cb4964ff7cb8ffd6f36c73e995394	10457	10338	16727	8739	9915
1e34806f89460106d4ef5d1b44af0021ccbe3d9a	4803	4119	7019	10183	4585
ed1c1adb4a8fbee49f41efa31c096ad710374753	5479	7553	2645	722	4802
54ddcf3357e1185209ce8e7abf07e25dd46443f0	452	7915	0	0	6957
bae595d56422d153791203f02a0523298a673fbc	3288	3624	1547	407	4271
91e1ca6567ef8b8935fadb9655a2e2cb041bdefb	2450	849	2327	2912	3847
0767b99fdf4d54b1ac7b5e1506c2dbce2866972b	3980	3182	179	6002	3649
cc5d0668aeeae695d5736bcaf53b8d0cb1e6cadd	8723	2024	4028	8919	5768
3ae47401b388c14717f2c76d584789503db4da53	0	362	2581	0	1965
52c7a217690559ec5ea64a4b6a0ca98a0b28ffd1	300	4241	0	0	4519
f86bdb066872ee96d3782b658bab853c7250bab0	0	604	4329	0	1997
fb7bfb727e35dfdae76473e97e497a35efdf7938	0	0	0	0	536
19d578b81889b9f9f9f1204769c93131e3cb6cba	0	17	52	0	5
02449541ba62ef4d0b00b8a398c2686b12bc430d	1	0	0	0	309
735d20e7b4bd7e93e181816869669522609f40ab	0	0	0	0	234
e49d5c5d6fb93d9a9c49c1b566b12e731dda04f7	0	0	0	0	107
00f99adfde7b4e9e2bfcc55fb4a588dcd2ce1463	2928	1555	3488	5907	3264
365b2467da7c452b4c99bd064484cfe487ab7998	1047	108	1	1257	616
074e453734052833726ec002063afd6ae3fc2235	1859	33	10	1960	1373
11304f8acbc9d3c28e79c095caaf8cd65eef50f3	3306	1760	0	4230	1234
005f5ab85b1da1713d17feb976e834b0c838e4bd	2293	1612	6	3994	754
3e4dc664a6c748d78a353b50203f8230ec7b5011	142	107	195	380	130
0b59d2524ab459d3d473f0fe35c2a23abe441f7b	1	3	0	69	0
c2f61610909f38a34126c979bba4ee0059411887	422	352	0	922	70
08f983c7102c04b981241454a23256a453410e74	312	304	0	529	132
48a2c1955a43d4716aed156f63ca7660cf567b78	76	60	0	167	25
0b6887ef1740b3080ee7a424da4c1c1e6601a70a	1	2	4	4	2
07e4784e6b55fb2b84729d10f41ffe5a6e2d255e	257	19	1	420	69
057ad05f726f356a20acd06cc3b707f8885b0950	40	5	2	19	9
004f48fa98850600b7ab9d2973e5e0ccc34b169d	160	11	0	92	0
3d5cb6126e7f848c4b5db0938addaf4aa657c24c	0	0	0	12	0
0567886ee726527bcb3bda275b1c7524c17476a9	6	0	1	5	9
00d8fec9f0bbb84eda8f89e1b25ef2ffebad0e90	182	17	0	57	0
0646142df71584e45d01333647a116da426c2a67	11	6	0	153	0
3cade6364e5817c7e04b908f653eec6ed7bbedcd	41	21	47	71	8
009c718afd1e12e50eac12c11b7f7b80254273a5	5	15	26	88	14
1588b918fb8d1e241a7b776993885880dbc3eb47	0	0	0	9	0
168bfe7662aeb7751ca4855eb4ca553dd4efe720	11	2	0	13	4
11e4e84b9345238bab57e17a2e0824bffc584176	3	0	3	3	1
022caf182f561b2cb11ad38f3a20550e1f02fc76	5	3	15	51	38
4e95e72ec9dad31997221dd7ce2c81a5587e7cd8	35	4	0	45	3
42b3be03b655ae05c9a7fc29f3fe76f529a94968	4	1	0	6	3
07657359b608c35fc43789e6730bc1c799a1cfd5	4	0	13	6	4
260df2eca8a0c0704c343e7ba0a5b5c2f1ea648b	2	0	0	13	2
1e5563a176fe7633832118758735dfac52bdcff3	0	0	0	8	0
23f7518660b1b3bf10f94557e3bd6c363286ba09	0	0	0	4	0
0a67c7f6a423c2fe3c9d514391b2bc363267c027	46	2	0	70	4
1c70a2e1d02edea785943cd076a56fb056e9a61b	8	1	9	8	16
004fa0b746447cbaeeb325f4010d768ac75ad324	1	0	0	3	91
0961cf818b6a8fb1ba26f3b07690e6bb74323186	0	0	0	12	0
4d41fa4efc473749402b92171365dbf7da552113	0	0	0	2	0
2ddcac83e77bdc9d4e151373c5d6db12482e25a6	0	1	0	2	7
1e90349a915e69cc2d7043e94b4fa1bd13f35adc	23	3	10	21	3
093038520e74f72feda7e4f1378c33140e44edc1	1	1	0	8	0
0bbab1a39699e49a19d9142b1d57b05b3bd282b0	27	1	0	25	18
038e513d87db2dc0ab4ed6374a93d55deae9c005	20	6	14	9	6
280813e897fd6311cb99195ac59bea39e70265b5	6	0	0	7	17
045b39c30a406feb74bb50c4d774fc47b17e68c2	1	2	0	11	8
1cba775ab59735ed9da5e708bf2aaf13982c91c6	5	6	0	9	0
9403995dd676ca6a2ae91c343c76ba68cf3e45cc	42	4	1	46	9
452177887b882156ecc0f839755b69b269590350	1	0	1	3	1
3fc0a1606f1978142be036a982ac35ab3b07ed0f	0	0	0	1	0
cba71b01a0ec6266fa2d17ca5e0e21c8b47c9345	0	0	0	1	0
227ddf6157e96f3329a143e6a5d979299ef47295	0	0	0	1	0
f3b0332a0a93de17a25d2075bac8bbdc5667c1e0	0	0	0	1	0
2a0c994a2a9a8afb45cc3eb49e6dc059799eca9d	1	3	1	8	7
12508cd1f90973f18fd933aa96d20bf854d533ea	0	0	0	1	1
16387cade74eb2e0fffeaedcba194be5aecc9953	0	0	0	1	1
1cf36596a610a30ecf42027a4bc423cbf967ca4f	11	3	0	18	2
0b6cb3df402f13e4ee62f0fcb24c75b15b85dc99	2	0	0	4	1
0825cb3bda4680388273cd88fad46393981ecdd6	11	0	0	11	3
104dfa153c0fcdcdfc01244a410c89f207860766	0	0	0	7	0
26755b3017aa60b584919a3fd5f4feecd58a593c	9	1	0	9	5
3b88f142a1369fb96e1675054a821a6ffaaf06e0	0	3	4	7	1
c4c456c605ef10b3ca955adc52ca26926fbdeba6	0	0	0	1	0
8b29c2ecb8138719666e95940a1fe50af0deaa22	0	0	0	1	0
a7acdadf881e8085389ad083b66d47501dc38c8f	0	0	0	1	1
1894c9c9215b88185b41d359b13efb4b045d7b7b	8	1	2	8	3
241f5d3b32b3eab6cff531366f560fa37fbdf451	9	2	0	1	0
078cc8bfc4e3d10ccf962587660be2b4f4ba30f5	0	0	0	4	0
21ec30b6fb55e5e0eff726ed9196256a2d51a573	0	0	0	1	0
0c9a2482c6bbd5689a71065b0a4724989d93edfc	0	0	0	13	0
04740956aa884c143df088f94a216986d02a517c	0	0	0	6	0
306eb9c50e9b547e4cc4b289670f0b17d89f66c0	0	0	0	2	0
0e80e4b218437341a0b3aae96e901184cbe78b7f	0	1	0	16	0
153dc310d6a811983b37b097793bee938c19acf5	1	0	0	2	8
f846bda7ac2f223a45948c622eaec53e5a986c13	0	0	0	1	0
109a294fd6bcd1264d87362a1ca343b3434c2623	35	0	0	9	4
f918e17daa9874e38ffa7e828d7156b1e861aa4b	0	0	0	1	0
8a9a13dda2e88970bbb89ad15e4a634ecfdf4906	0	0	0	1	0
e2439ffa0630468444b0a2f9fb7fb54f8d4b71c8	0	0	0	1	0
d41672d5e272e52289def945bc8c40c5d0436cab	0	0	0	1	0
76a3d6b20582d1d91426c86c35ade7f1fbad5032	0	0	1	2	1
daceb55468783ed87172c53602b62194f76baa16	7	0	2	7	2
0a8a7100da9ae9452e453adfa8900b1025d3f3a1	3	0	0	3	0
2f86607af11684659dc4316cb8bc108fb8d8c4f4	0	0	0	1	0
1a97bdd611ef9c374c95caf869062171c6f4d634	1	2	1	3	2
67d33116c19c53947fb7c072d86c37e56c1acc8e	0	0	0	2	0
2f83afb3128a2922f055d57e57efb92aa5c197c7	0	0	0	1	0
0bb62d9f8d4b66ef54b1f871902d2ed8250e1f75	1	0	0	4	8
7810039b5eb4439a1a9027ecc885741d2f3e6cdc	0	0	0	1	0
038a6cd0a7744ebb27ddd37de1e2b62a48c8b870	0	6	4	2	2
ee28d05ba612ce3820e3107b7679b8383f6ddb1e	0	0	0	1	0
0a618886875d26c1156b580a5633a739d1721618	0	0	0	2	0
40dd0f6382a31dbd4415ca5846d7441fd3ec5cac	7	2	1	7	11
004bd098b1bfca0206df9d150187c19e5f468a71	19	3	1	2	1
6f07dd183544aee17395831275e3f5198bc219d8	0	0	1	1	0
02c1f0926e744c0d521ec1f97993ea14e4a9fbb5	0	5	5	20	0
216f983eaa87f505dfa9aca43ec61fd79054dfe1	0	0	0	6	0
02023766790b98a5efe8b6ef8649ebfb7bbe395d	0	6	14	7	0
840095f87bcf6586d030420ffae15544a41526c9	0	0	0	1	0
