otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
001ee4b4886bab7525838d8388db522b3f6dd12c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
003034f2e3da8de682994932ca52c2855ebcf18f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00384dd31f159746d1048168b508020f13e58bef	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
004bd098b1bfca0206df9d150187c19e5f468a71	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_variabilis
004f48fa98850600b7ab9d2973e5e0ccc34b169d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
004fa0b746447cbaeeb325f4010d768ac75ad324	Eukaryota	Basidiomycota	Opisthokonta	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
005f5ab85b1da1713d17feb976e834b0c838e4bd	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Pleosporaceae	Alternaria	Alternaria_alternata
006c6f2a7152eb066c97a1cf07782868d8b7c837	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
006dbdbf87e076715a41c1f99b130fc705569fb8	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0098d2cc4f3c6dbcaa48345381162a93da462b6b	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora_brassicae
009c718afd1e12e50eac12c11b7f7b80254273a5	Eukaryota	Ascomycota	dothideomyceta	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_aphidis
009f2953ebf09ee45057c286090f3b84617bf35e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00aab4230fb32e2927509f6751757277ae015769	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00ac6e6e0a5f35f8bfd2afef5d3b3a74d96cbeab	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00b2b677afcaae2d4373b6b28660105dd7746d6f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00b8246eece10edcf965904d22c789bdfd9cd542	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00d8fec9f0bbb84eda8f89e1b25ef2ffebad0e90	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00ef4f48c8d4fadf27c53079d729bdd109e3a07e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
00f99adfde7b4e9e2bfcc55fb4a588dcd2ce1463	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_vesicarium
01174834624ff34db622de5dc1471359ad22b037	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
011b2f78ea08067f241f9ebefc5a478566ec7184	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
011b7c0e4963cdbdde2b346977fc715cda025c96	Eukaryota	Basidiomycota	Opisthokonta	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema_terrestris
017c1a8a6658d4ec2df322e22a97a00bcfbf12ad	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0186a3298fc77c47dda408230b706460b98ab24f	Eukaryota	Ascomycota	sordariomyceta	Hypocreales	Nectriaceae	Fusarium	Fusarium_yamamotoi
01ad91ac98acd2b0fb3a5268a82f3550c2d7f00b	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
01e84d7dc7985604a5c0f7520fed33a6fe697505	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
02023766790b98a5efe8b6ef8649ebfb7bbe395d	Eukaryota	Ascomycota	dothideomyceta	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_aciculare
022caf182f561b2cb11ad38f3a20550e1f02fc76	Eukaryota	Ascomycota	dothideomyceta	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_herbarum
02449541ba62ef4d0b00b8a398c2686b12bc430d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0277e5ff55d6115cc97e1c8c4559e94ed567eb6d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
02b2bb8f6314b9f742719de4b0e6caa29cd4de68	Eukaryota	Basidiomycota	Opisthokonta	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema_flavescens
02c1f0926e744c0d521ec1f97993ea14e4a9fbb5	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Didymellaceae	Ascochyta	Ascochyta_herbicola
02ec6f382cce279207513a94be06cff7664ae037	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
038a6cd0a7744ebb27ddd37de1e2b62a48c8b870	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_vesicarium
038e513d87db2dc0ab4ed6374a93d55deae9c005	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_myosuri
039b7baa8860c648a86b72dddf314765a79f9768	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
039e951e0e204b96a7b8a9ee9598f17efb5355e9	Eukaryota	Ascomycota	dothideomyceta	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_aphidis
03a48192cc56d7018d823fcac89ef4dcf8db89c0	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
03c6ede8c1e42cf39b9adaee6b81b6100512d52a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
03e0bdb97f362f36611e342eae14dba292aeab97	Eukaryota	Basidiomycota	Opisthokonta	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
03e22ad80b67b5f4b8597ef80b74ac9cb145f003	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
03fc70dfd04ac2e23f59d04ec85aac8b341f8b39	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
040a8636a988fc60554e113b3a880c5629c02434	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0421c4fa2db8a671ae62b0d568bf43ae6de31042	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0424eedf1a6b6eeeb449d3cdc9089f4a91b7c2aa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
042fb57879df6d6e318b1d31735dad37e1c0a3b0	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
044fddbb6c1c7819543117a20658a8576a952db3	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
045b39c30a406feb74bb50c4d774fc47b17e68c2	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
04740956aa884c143df088f94a216986d02a517c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
04766df8a57dbdb2dcee9f98b1ca1ec99f110109	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0503b4e5da1da1bf961a6484defb0009cab33a75	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
052c00ce5c2d36244dcfe279ba4bf2c768fec5d7	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0567886ee726527bcb3bda275b1c7524c17476a9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
057ad05f726f356a20acd06cc3b707f8885b0950	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_variabilis
06298a7e4d6fa357a859ec03c5cb51094afa7980	Eukaryota	Ascomycota	sordariomyceta	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_squamosa
06429a8081e33b35ae96a2802773e61623d10a75	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
