"otu"	"superkingdom"	"phylum"	"clade"	"order"	"family"	"genus"	"species"
87229	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_porri"
139640	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_squamosa"
40559	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_cinerea"
139641	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_byssoidea"
87227	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Myriosclerotinia"	"Myriosclerotinia_caricis-ampullaceae"
87228	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Myriosclerotinia"	"Myriosclerotinia_curreyana"
1973135	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Nervostroma"	"Nervostroma_depraedans"
5180	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_sclerotiorum"
28548	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_trifoliorum"
352851	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_nivalis"
589664	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_bulborum"
1792694	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Elliottinia"	"Elliottinia_kerneri"
38448	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_fructicola"
335683	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_ssiori"
2763337	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_kusanoi"
255361	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_polystroma"
38486	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_oxycocci"
38468	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciborinia"	"Ciborinia_erythronii"
1792696	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerencoelia"	"Sclerencoelia_pruinosa"
1971360	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerencoelia"	"Sclerencoelia_fraxinicola"
233968	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Kohninia"	"Kohninia_linnaeicola"
38492	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Stromatinia"	"Stromatinia_cepivora"
2825852	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Schroeteria"	"Schroeteria_poeltii"
2825853	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Schroeteria"	"Schroeteria_decaisneana"
438415	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botryotinia"	"Botryotinia_allii"
2075380	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Septotinia"	"Septotinia_podophyllina"
1003147	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Amphobotrys"	"Amphobotrys_ricini"
2081440	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Martininia"	"Martininia_panamaensis"
984309	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciboria"	"Ciboria_shiraiana"
1436308	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciboria"	"Ciboria_cistophila"
378066	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Mycopappus"	"Mycopappus_alni"
54691	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Valdensinia"	"Valdensinia_heterodoxa"
503105	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilia"	"Monilia_fructigena"
119933	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_vesicarium"
183480	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_trifolii"
110364	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_solani"
183473	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_triglochinicola"
245170	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_globuliferum"
120510	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_botryosum"
