"Accession"	"mock"	"mock3"	"mock5"	"mock2"	"mock4"	"TotalCount"	"MappingConfidence"
"KU850565.1"	34896	62841	32030	60789	27740	218296	78.76
"JQ936290.1"	519	646	243	521	364	2293	22.28
"KU850546.1"	260	332	211	229	156	1188	6.28
"KY883819.1"	43	52	35	74	24	228	2.87
"KR873250.1"	39	52	358	11	55	515	88.37
"AF347031.1"	34136	84836	19511	35	32934	171452	99.99
"MH860044.1"	36489	111905	31783	114400	80619	375196	50.59
"DQ885385.1"	15552	53780	29303	34770	12302	145707	99.92
"MH856435.1"	8649	29949	7689	27253	14899	88439	35.63
"MK394004.1"	18232	70069	16991	27	2534	107853	100
"AY198298.3"	5	4	6	1	0	16	87.79
"MN784447.1"	6	3	1	1	0	11	99.32
"HQ643443.2"	7	21	9	6	3	46	100
"MH730799.1"	2	9	4	3	0	18	99.19
"HQ643444.1"	9	33	9	18	9	78	99.92
"MG865484.1"	7	19	3	29	8	66	99.99
"AY198300.3"	37	270	26	52	12	397	95.44
"MH730809.1"	10	35	3	7	2	57	22.52
"MH856176.1"	7576	40188	25816	110251	50698	234529	42.03
"MG865574.1"	60	163	95	85	37	440	99.76
"EU049205.1"	81	323	45	215	111	775	27.97
"MG865593.1"	22	44	9	44	21	140	98.9
"MG865580.1"	1	1	0	0	1	3	100
"HQ643670.1"	49	22	258	0	2	331	99.75
"HQ643771.1"	1	1	1	0	0	3	73.52
"MG865559.1"	9	30	5	21	11	76	95.31
"MG865523.1"	17	46	7	11	8	89	78.14
"MH854739.1"	635	3554	1140	3362	1784	10475	10.85
"LC228670.1"	98	1715	333	186	464	2796	5.68
"HQ643429.1"	4	1	11	0	0	16	99.69
"HQ643692.1"	8	7	80	0	0	95	99.92
"MG865576.1"	18	41	12	24	10	105	99.59
"MH461124.1"	1	0	0	0	0	1	99.6
"MW633475.1"	230	81	89	147	55	602	66.72
"MH855943.1"	2088	73285	32556	21434	56143	185506	93.2
"AF314985.1"	11	0	0	0	0	11	100
"JN906978.1"	57	9	92	79	21	258	48.61
"MW709918.1"	64	0	0	0	4	68	85.58
"HQ643479.1"	3	1	8	0	0	12	100
"MH730805.1"	6	18	1	4	2	31	20.43
"MH730800.1"	3	6	1	1	1	12	99.73
"AY211016.1"	2	2	0	1	1	6	52.53
"KC584238.1"	30	14	13	26	16	99	8.38
"AY743636.1"	11	38	613	0	0	662	98.2
"MH656752.1"	102	139	50	401	207	899	20.2
"KY703619.1"	75	0	1	485	6	567	34.41
"MG564165.1"	1	0	0	0	1	2	24.94
"FJ790287.1"	1	0	0	0	0	1	99.21
"MZ531891.1"	1	0	0	2	0	3	6.86
"FJ427049.1"	36	5	4	266	28	339	5.36
"GU237890.1"	4	0	1	28	2	35	15.61
"GU237762.1"	6	0	1	19	2	28	0
"KY979755.1"	13	0	0	42	34	89	23.88
"KR183856.1"	11	0	0	0	0	11	57.2
"AF444441.1"	4	0	0	0	0	4	52.53
"MG865508.1"	5	12	1	4	4	26	76.83
"MG865599.1"	2	5	4	6	0	17	100
"HQ643137.1"	13	12	3	2	4	34	94.09
"KT600411.1"	4	0	0	1	0	5	29.49
"AY198293.3"	3	1	0	0	0	4	100
"HQ643570.1"	1	0	0	0	1	2	100
"HQ643945.1"	2	3	6	0	0	11	100
"MW599272.1"	2	2	0	0	0	4	55.14
"AY198246.3"	5	17	4	5	3	34	98.93
"HQ643721.2"	3	13	10	9	3	38	100
"KC287235.1"	13	8	0	0	0	21	100
"MG865566.1"	2	1	0	1	0	4	100
"MG865504.1"	1	0	0	0	0	1	100
"AY198240.3"	2	2	0	2	0	6	100
"KJ443356.1"	6	0	0	6	0	12	0
"FJ427003.1"	2	0	0	15	0	17	0
"MG865518.1"	1	2	0	1	0	4	100
"HQ643518.2"	1	6	6	3	1	17	75.54
"OM778769.1"	7	4	23	1	1	36	99.65
"HQ643681.2"	2	7	6	9	2	26	90.27
"HQ643773.2"	3	6	1	38	4	52	64.51
"MG865466.1"	1	0	0	0	1	2	100
"HQ643752.1"	2	0	9	0	0	11	99.99
"AF222850.1"	3	0	2	5	2	12	51.22
"JN865210.1"	2	1	15	4	4	26	40.87
"JQ781877.1"	3	0	0	0	0	3	0
"MG865575.1"	5	4	2	9	1	21	100
"Z99672.1"	4	1514	296	7	280	2101	11.48
"MN244198.1"	2	1	1	5	2	11	9.07
"MW015778.1"	2	3	80	0	0	85	99.93
"MG865578.1"	1	1	1	0	0	3	40.19
"HQ643396.2"	1	5	3	35	11	55	16.56
"MH730806.1"	1	0	0	0	0	1	100
"GU237795.1"	1	0	0	0	0	1	0
"MG783381.1"	1	4	2	1	0	8	100
"MG865569.1"	1	0	0	0	0	1	100
"JQ897481.1"	1	0	0	9	4	14	1.47
"AY211019.1"	2	0	0	0	0	2	100
"MW599273.1"	1	0	0	0	1	2	50
"AY198301.3"	1	1	0	0	0	2	100
"HQ643956.2"	4	10	0	3	4	21	85.71
"MG865520.1"	2	8	2	4	2	18	79.38
"HQ643854.2"	1	0	0	0	1	2	0
"MW138779.1"	1	27592	6680	1	5523	39797	46.55
"MK876378.1"	1	0	0	0	0	1	100
"KU821452.1"	1	0	0	7	1	9	9.88
