"otu"	"superkingdom"	"phylum"	"clade"	"order"	"family"	"genus"	"species"
5178	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"unidentified"	"unidentified"	"unidentified"
28983	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"unidentified"	"unidentified"
33196	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"unidentified"
87229	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_porri"
139640	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_squamosa"
40559	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_cinerea"
139641	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botrytis"	"Botrytis_byssoidea"
38442	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Myriosclerotinia"	"unidentified"
87227	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Myriosclerotinia"	"Myriosclerotinia_caricis-ampullaceae"
87228	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Myriosclerotinia"	"Myriosclerotinia_curreyana"
5179	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"unidentified"
5180	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_sclerotiorum"
28548	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_trifoliorum"
352851	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_nivalis"
589664	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerotinia"	"Sclerotinia_bulborum"
1973135	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Nervostroma"	"Nervostroma_depraedans"
1792694	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Elliottinia"	"Elliottinia_kerneri"
38447	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"unidentified"
38448	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_fructicola"
335683	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_ssiori"
2763337	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_kusanoi"
255361	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_polystroma"
38486	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_oxycocci"
61189	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_baccarum"
61207	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_vaccinii-corymbosi"
61210	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_padi"
859164	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilinia"	"Monilinia_linhartiana"
38468	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciborinia"	"Ciborinia_erythronii"
1971359	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerencoelia"	"unidentified"
1792696	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerencoelia"	"Sclerencoelia_pruinosa"
1971360	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Sclerencoelia"	"Sclerencoelia_fraxinicola"
233968	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Kohninia"	"Kohninia_linnaeicola"
38492	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Stromatinia"	"Stromatinia_cepivora"
2825849	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Schroeteria"	"unidentified"
2825852	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Schroeteria"	"Schroeteria_poeltii"
2825853	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Schroeteria"	"Schroeteria_decaisneana"
438415	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Botryotinia"	"Botryotinia_allii"
2075380	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Septotinia"	"Septotinia_podophyllina"
1003147	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Amphobotrys"	"Amphobotrys_ricini"
2081440	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Martininia"	"Martininia_panamaensis"
984309	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciboria"	"Ciboria_shiraiana"
1436308	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Ciboria"	"Ciboria_cistophila"
378066	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Mycopappus"	"Mycopappus_alni"
54691	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Valdensinia"	"Valdensinia_heterodoxa"
58904	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Scleromitrula"	"unidentified"
58909	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Scleromitrula"	"Scleromitrula_spiraeicola"
58908	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Scleromitrula"	"Scleromitrula_shiraiana"
503105	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilia"	"Monilia_fructigena"
2075158	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Monilia"	"Monilia_medoacensis"
520570	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Moellerodiscus"	"Moellerodiscus_coprosmae"
1929100	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Sclerotiniaceae"	"Mitrulinia"	"Mitrulinia_ushuaiae"
1732013	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"unidentified"	"Leptodophora"	"Leptodophora_orchidicola"
45428	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"unidentified"	"Amylocarpus"	"Amylocarpus_encephaloides"
470022	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"unidentified"	"Rhizocladosporium"	"Rhizocladosporium_argillaceum"
2555405	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Chrysodiscaceae"	"Chrysodisca"	"Chrysodisca_peziculoides"
1436320	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Rutstroemiaceae"	"Rutstroemia"	"Rutstroemia_longipes"
1490968	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Rutstroemiaceae"	"Lambertella"	"Lambertella_palmeri"
2772227	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Rutstroemiaceae"	"Bicornispora"	"Bicornispora_seditiosa"
602096	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Lachnaceae"	"Albotricha"	"Albotricha_albotestacea"
1776022	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Lachnaceae"	"Incrucipulum"	"Incrucipulum_ciliare"
2794838	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Discinellaceae"	"unidentified"	"unidentified"
585615	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Hyaloscyphaceae"	"Hyaloscypha"	"Hyaloscypha_vitreola"
2075039	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Helotiaceae"	"Helicodendron"	"Helicodendron_multicatenulatum"
1761653	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Helotiales"	"Dermateaceae"	"Coleophoma"	"Coleophoma_caliginosa"
34371	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Erysiphales"	"Erysiphaceae"	"unidentified"	"unidentified"
34373	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Erysiphales"	"Erysiphaceae"	"Blumeria"	"Blumeria_graminis"
5125	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"unidentified"	"unidentified"	"unidentified"
5547	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	"Trichoderma_viride"
64502	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	"Trichoderma_aureoviride"
692673	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Hypocreaceae"	"Trichoderma"	"Trichoderma_parestonicum"
193389	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Hypocreaceae"	"Hypomyces"	"Hypomyces_albidus"
1451352	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Clavicipitaceae"	"Aschersonia"	"Aschersonia_narathiwatensis"
511198	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Clavicipitaceae"	"Moelleriella"	"Moelleriella_turbinata"
5111	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Clavicipitaceae"	"Claviceps"	"Claviceps_purpurea"
122410	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Bionectriaceae"	"Clonostachys"	"Clonostachys_setosa"
1472694	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Bionectriaceae"	"Waltergamsia"	"Waltergamsia_citrina"
706416	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Bionectriaceae"	"Gliomastix"	"Gliomastix_masseei"
110618	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Nectriaceae"	"unidentified"	"unidentified"
42327	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium_ventricosum"
2502717	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Nectriaceae"	"Lasionectria"	"Lasionectria_hilhorstii"
743107	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Niessliaceae"	"Monocillium"	"Monocillium_indicum"
2052551	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Niessliaceae"	"Monocillium"	"Monocillium_ligusticum"
2502163	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Cordycipitaceae"	"Akanthomyces"	"Akanthomyces_araneogenum"
2721087	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Cordycipitaceae"	"Lecanicillium"	"Lecanicillium_praecognitum"
226117	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Hypocreales"	"Stachybotryaceae"	"Myrothecium"	"Myrothecium_gramineum"
5157	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Microascales"	"Ceratocystidaceae"	"Ceratocystis"	"unidentified"
201932	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Microascales"	"Halosphaeriaceae"	"Corollospora"	"Corollospora_angusta"
1215354	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Microascales"	"Gondwanamycetaceae"	"Knoxdaviesia"	"unidentified"
27357	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Glomerellales"	"Glomerellaceae"	"Colletotrichum"	"Colletotrichum_acutatum"
461146	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Glomerellales"	"Plectosphaerellaceae"	"Gibellulopsis"	"Gibellulopsis_serrae"
5114	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Diaporthales"	"unidentified"	"unidentified"	"unidentified"
