otu	barcode04MF	barcode03MF	barcode05MF
KU850565.1	27740	62841	32030
JQ936290.1	364	646	243
KR873250.1	55	52	358
AF347031.1	32934	84836	19511
MH860044.1	80619	111905	31783
DQ885385.1	12302	53780	29303
MH856435.1	14899	29949	7689
MK394004.1	2534	70069	16991
AY198298.3	0	4	6
MN784447.1	0	3	1
HQ643443.2	3	21	9
MH730799.1	0	9	4
HQ643444.1	9	33	9
MG865484.1	8	19	3
AY198300.3	12	270	26
MH730809.1	2	35	3
MH856176.1	50698	40188	25816
MG865574.1	37	163	95
EU049205.1	111	323	45
MG865593.1	21	44	9
MG865580.1	1	1	0
HQ643670.1	2	22	258
HQ643771.1	0	1	1
MG865559.1	11	30	5
MG865523.1	8	46	7
HQ643429.1	0	1	11
HQ643692.1	0	7	80
MG865576.1	10	41	12
MH461124.1	0	0	0
MW633475.1	55	81	89
MH855943.1	56143	73285	32556
AF314985.1	0	0	0
JN906978.1	21	9	92
MW709918.1	4	0	0
HQ643479.1	0	1	8
MH730805.1	2	18	1
MH730800.1	1	6	1
AY211016.1	1	2	0
AY743636.1	0	38	613
MH656752.1	207	139	50
KY703619.1	6	0	1
MG564165.1	1	0	0
FJ790287.1	0	0	0
KY979755.1	34	0	0
KR183856.1	0	0	0
AF444441.1	0	0	0
MG865508.1	4	12	1
MG865599.1	0	5	4
HQ643137.1	4	12	3
KT600411.1	0	0	0
AY198293.3	0	1	0
HQ643570.1	1	0	0
HQ643945.1	0	3	6
MW599272.1	0	2	0
AY198246.3	3	17	4
HQ643721.2	3	13	10
KC287235.1	0	8	0
MG865566.1	0	1	0
MG865504.1	0	0	0
AY198240.3	0	2	0
MG865518.1	0	2	0
HQ643518.2	1	6	6
OM778769.1	1	4	23
HQ643681.2	2	7	6
HQ643773.2	4	6	1
MG865466.1	1	0	0
HQ643752.1	0	0	9
AF222850.1	2	0	2
JN865210.1	4	1	15
MG865575.1	1	4	2
MW015778.1	0	3	80
MG865578.1	0	1	1
MH730806.1	0	0	0
MG783381.1	0	4	2
MG865569.1	0	0	0
AY211019.1	0	0	0
MW599273.1	1	0	0
AY198301.3	0	1	0
HQ643956.2	4	10	0
MG865520.1	2	8	2
