otu;barcode04M;barcode03M;barcode05M
MH860044.1;129268;180518;56912
DQ885385.1;20840;86162;45589
MH855943.1;93315;120646;56825
KU850565.1;47578;103260;56456
MH856176.1;83883;65232;46242
EU049216.1;8304;0;23978
MH854739.1;4287;7893;2592
MH856435.1;26779;52517;14436
JQ936290.1;1594;2892;1206
KU850546.1;909;1706;1042
KY883819.1;118;284;154
GU237762.1;26;3;3
MG865574.1;168;778;415
KY703619.1;97;68;67
FJ427049.1;195;174;62
MN944491.1;13899;61085;10273
KR632862.1;0;0;0
KC584238.1;138;196;111
LC228670.1;1774;4621;1068
MH656752.1;1354;1395;576
KY979755.1;107;20;10
MG386056.1;11;12;8
MW633475.1;95;132;138
Z99672.1;901;4105;902
GU237890.1;31;38;8
AY198298.3;5;22;34
MN244198.1;68;80;52
HQ643956.2;14;32;11
HQ643773.2;9;18;3
HQ643408.2;1;2;6
MT730631.1;1;0;0
GQ244428.2;4;18;12
KJ707164.1;10;0;37
KT600411.1;2;0;0
MG865593.1;38;83;26
EU882732.1;0;1;0
MG865548.1;13;59;45
MG865566.1;0;3;0
HQ643671.2;5;0;1
HQ643681.2;14;33;20
EU049205.1;157;424;76
MK394004.1;4979;114437;27655
AY211016.1;5;9;1
AY198300.3;27;369;45
MT730745.1;4;0;2
MH862963.1;7;7;3
KJ443356.1;8;2;0
MG865576.1;59;307;114
KY970066.1;12;11;13
MK876378.1;6;14;25
GU237837.1;0;0;0
HQ643444.1;54;122;40
JQ897481.1;13;0;0
MW599272.1;26;83;12
MG518642.1;9;24;16
AY364838.1;7;0;9
MH730801.1;1;1;1
JN906978.1;32;13;150
LT592939.1;22;22;21
MH730805.1;11;49;5
GU237714.1;1;0;0
AF347031.1;56937;146447;34549
MH730799.1;1;20;5
MH327825.1;20;15;21
GU237731.1;3;14;5
GU237792.1;14;0;1
FN428895.1;0;0;0
KJ941072.1;18;84;22
OL539743.1;4;0;5
MW138779.1;10900;50129;12599
MG865476.1;2;12;7
MH730809.1;16;57;10
FJ427003.1;21;17;12
HQ643739.2;21;2;4
MG865511.1;9;47;19
KU306729.1;5;2;1
MG865509.1;1;5;1
KF156010.1;3;4;6
MG865575.1;15;61;20
HQ643443.2;12;44;32
MG865596.1;1;7;5
HQ643396.2;19;15;5
MG865599.1;16;65;31
KJ131184.1;1229;214;115
MG865580.1;2;18;2
MG564165.1;14;14;4
MG865559.1;33;102;21
MG865484.1;11;34;4
MN784447.1;7;32;6
MN688821.1;6;7;1
KR873250.1;380;356;895
HQ643546.1;6;11;5
MK995628.1;10;13;2
GU237761.1;8;7;5
MG865519.1;1;2;2
AF222850.1;6;1;5
KP170659.1;6;4;2
MH730803.1;5;10;2
LT592936.1;0;0;1
HQ643388.2;22;4;4
AY198246.3;10;44;11
KF777149.1;3;3;12
KC986958.1;5;1;1
HQ643721.2;11;45;20
JN865210.1;30;14;29
MG865586.1;3;6;1
MT731015.1;4;0;0
MT730940.1;3;0;2
JN712454.1;11;9;6
MK894584.1;150;446;60
OL652617.1;8;3;2
GU237833.1;15;18;14
MG783381.1;10;41;13
MG865488.1;0;0;0
GU237734.1;1;0;2
MH730806.1;0;4;0
KY905674.1;3;5;3
MH298851.1;0;6;1
HQ643137.1;11;30;10
KY995559.1;5;1;11
HQ643522.1;1;0;1
MG865466.1;4;2;0
MH862427.1;1;1;3
HQ643518.2;3;24;18
MK496523.1;0;1;0
MW915648.1;22;2;6
GU237775.1;31;23;5
FJ266483.1;56;69;73
MH101502.1;3;6;5
MH730800.1;2;12;3
MG865520.1;4;26;6
MG865527.1;0;3;0
AY198293.3;4;13;8
HQ643126.1;0;1;0
DQ202520.1;0;1;0
MG865499.1;0;11;3
MK163944.1;0;2;1
MG865523.1;18;89;17
MG865525.1;0;7;0
HE792904.1;8;36;7
MT554398.1;4;24;18
GU237795.1;6;3;0
AY552328.1;3;0;12
KY742078.1;3;3;0
KY986679.1;11;0;4
KU821452.1;2;0;5
HQ643757.2;3;0;3
EU346864.1;0;1;0
HQ643690.1;0;5;1
MG865544.1;1;1;0
MH730811.1;3;1;0
GU237901.1;3;0;0
MK473407.1;2;0;0
EU040243.2;2;1;1
AY198301.3;5;22;10
MG865504.1;2;8;0
EU019250.2;1;0;4
GU237794.1;0;5;3
EU049217.1;0;0;0
GU237903.1;1;3;1
JQ031179.1;0;0;0
MG865508.1;7;20;3
MT185530.1;0;0;0
AY198240.3;5;18;0
OL436938.1;0;0;0
OM778769.1;100;157;99
DQ641238.1;0;0;0
MH414905.1;2;5;0
