Name;taxon;Theoretical;Minimap2_F;Minimap2;Bracken;Kraken;Qiime2
mock;Botrytis cinerea;21,87;19,16;17,38;6,65;5,74;0,00
mock;Botrytis porri;7,42;5,23;4,99;10,79;9,48;40,63
mock;Botrytis squamosa;8,94;6,90;6,22;0,02;0,02;0,00
mock;Sclerotinia sclerotiorum;8,50;4,81;4,86;10,99;9,54;0,00
mock;Alternaria alternata;6,98;14,65;13,93;16,01;13,98;13,38
mock;Alternaria brassicicola;4,80;3,14;3,11;3,69;3,26;1,93
mock;Peronospora variabilis;10,28;12,10;10,73;12,75;11,09;3,24
mock;Peronospora destructor;10,31;9,28;8,09;9,95;8,73;0,01
mock;Hyaloperonospora brassicae;0,00;0,00;0,00;0,00;0,00;0,00
mock;Epicoccum nigrum;8,56;12,74;11,35;13,16;11,29;7,33
mock;Stemphylium vesicarium;8,10;10,81;9,78;10,10;8,63;10,53
mock;Fusarium oxysporum;4,24;1,03;1,05;1,21;1,06;1,01
mock;Other;0,00;0,16;8,51;4,68;17,17;21,94
mock2;Botrytis cinerea;16,21;21,43;19,60;7,99;6,81;0,00
mock2;Botrytis porri;9,83;4,06;4,03;9,10;7,76;41,97
mock2;Botrytis squamosa;9,37;13,37;12,62;6,77;5,88;0,00
mock2;Sclerotinia sclerotiorum;6,41;1,51;1,68;3,64;3,19;0,00
mock2;Alternaria alternata;9,77;8,91;8,59;10,16;8,71;9,28
mock2;Alternaria brassicicola;9,65;5,32;5,62;6,51;5,66;3,19
mock2;Peronospora variabilis;3,19;0,64;0,73;0,95;0,74;0,18
mock2;Peronospora destructor;6,40;3,25;3,09;3,84;3,31;0,00
mock2;Hyaloperonospora brassicae;3,25;1,34;1,22;1,64;1,37;1,30
mock2;Epicoccum nigrum;9,78;15,01;14,37;16,84;14,46;10,14
mock2;Stemphylium vesicarium;9,60;7,53;7,28;7,36;6,23;7,76
mock2;Fusarium oxysporum;6,54;16,98;16,12;18,04;15,40;16,33
mock2;Other;0,00;0,64;5,04;7,16;20,48;9,85
mock3;Botrytis cinerea;14,26;11,08;11,18;3,80;3,53;0,01
mock3;Botrytis porri;7,19;2,78;2,97;6,00;5,56;27,80
mock3;Botrytis squamosa;7,18;9,25;9,07;4,43;4,12;0,00
mock3;Sclerotinia sclerotiorum;7,29;2,27;2,41;4,35;4,14;0,00
mock3;Alternaria alternata;7,22;6,98;6,79;7,70;6,95;7,68
mock3;Alternaria brassicicola;7,19;5,62;5,58;6,52;6,06;2,58
mock3;Peronospora variabilis;7,15;6,13;5,41;5,99;5,32;2,04
mock3;Peronospora destructor;14,17;10,48;8,88;9,77;8,76;0,01
mock3;Hyaloperonospora brassicae;7,08;5,72;4,66;5,29;4,81;5,33
mock3;Epicoccum nigrum;7,17;11,54;11,24;13,25;12,11;6,46
mock3;Stemphylium vesicarium;6,97;11,29;11,24;10,64;9,87;10,74
mock3;Fusarium oxysporum;7,12;15,50;15,47;16,79;15,51;15,45
mock3;Other;0,00;1,35;5,10;5,46;13,26;21,90
