otu;barcode04T;barcode03T;barcode05T
MH860044.1;161300;218000;142900
DQ885385.1;64500;103000;142900
MH855943.1;96800;85700;71400
KU850565.1;96800;80200;71400
MH856176.1;96800;89100;71400
EU049216.1;32300;0;71400
MH854739.1;0;0;0
MH856435.1;96800;76100;71400
JQ936290.1;0;0;0
KU850546.1;0;0;0
KY883819.1;0;0;0
GU237762.1;0;0;0
MG865574.1;0;0;0
KY703619.1;0;0;0
FJ427049.1;0;0;0
MN944491.1;0;0;0
KR632862.1;0;0;0
KC584238.1;0;0;0
LC228670.1;0;0;0
MH656752.1;0;0;0
KY979755.1;0;0;0
MG386056.1;0;0;0
MW633475.1;0;0;0
Z99672.1;0;0;0
GU237890.1;0;0;0
AY198298.3;0;0;0
MN244198.1;0;0;0
HQ643956.2;0;0;0
HQ643773.2;0;0;0
HQ643408.2;0;0;0
MT730631.1;0;0;0
GQ244428.2;0;0;0
KJ707164.1;0;0;0
KT600411.1;0;0;0
MG865593.1;0;0;0
EU882732.1;0;0;0
MG865548.1;0;0;0
MG865566.1;0;0;0
HQ643671.2;0;0;0
HQ643681.2;0;0;0
EU049205.1;0;0;0
MK394004.1;32300;101900;71400
AY211016.1;0;0;0
AY198300.3;0;0;0
MT730745.1;0;0;0
MH862963.1;0;0;0
KJ443356.1;0;0;0
MG865576.1;0;0;0
KY970066.1;0;0;0
MK876378.1;0;0;0
GU237837.1;0;0;0
HQ643444.1;0;0;0
JQ897481.1;0;0;0
MW599272.1;0;0;0
MG518642.1;0;0;0
AY364838.1;0;0;0
MH730801.1;0;0;0
JN906978.1;0;0;0
LT592939.1;0;0;0
MH730805.1;0;0;0
GU237714.1;0;0;0
AF347031.1;96800;71200;71400
MH730799.1;0;0;0
MH327825.1;0;0;0
GU237731.1;0;0;0
GU237792.1;0;0;0
FN428895.1;0;0;0
KJ941072.1;0;0;0
OL539743.1;0;0;0
MW138779.1;64500;84500;71400
MG865476.1;0;0;0
MH730809.1;0;0;0
FJ427003.1;0;0;0
HQ643739.2;0;0;0
MG865511.1;0;0;0
KU306729.1;0;0;0
MG865509.1;0;0;0
KF156010.1;0;0;0
MG865575.1;0;0;0
HQ643443.2;0;0;0
MG865596.1;0;0;0
HQ643396.2;0;0;0
MG865599.1;0;0;0
KJ131184.1;0;0;0
MG865580.1;0;0;0
MG564165.1;0;0;0
MG865559.1;0;0;0
MG865484.1;0;0;0
MN784447.1;0;0;0
MN688821.1;0;0;0
KR873250.1;0;0;0
HQ643546.1;0;0;0
MK995628.1;0;0;0
GU237761.1;0;0;0
MG865519.1;0;0;0
AF222850.1;0;0;0
KP170659.1;0;0;0
MH730803.1;0;0;0
LT592936.1;0;0;0
HQ643388.2;0;0;0
AY198246.3;0;0;0
KF777149.1;0;0;0
KC986958.1;0;0;0
HQ643721.2;0;0;0
JN865210.1;0;0;0
MG865586.1;0;0;0
MT731015.1;0;0;0
MT730940.1;0;0;0
JN712454.1;0;0;0
MK894584.1;0;0;0
OL652617.1;0;0;0
GU237833.1;0;0;0
MG783381.1;0;0;0
MG865488.1;0;0;0
GU237734.1;0;0;0
MH730806.1;0;0;0
KY905674.1;0;0;0
MH298851.1;0;0;0
HQ643137.1;0;0;0
KY995559.1;0;0;0
HQ643522.1;0;0;0
MG865466.1;0;0;0
MH862427.1;0;0;0
HQ643518.2;0;0;0
MK496523.1;0;0;0
