otu;Kingdom;Phylum;Class;Order;Family;Genus;Species
MH860044.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Botrytis;Botrytis_cinerea
DQ885385.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_destructor
MH855943.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Epicoccum;Epicoccum_nigrum
KU850565.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_vesicarium
MH856176.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Botrytis;Botrytis_squamosa
EU049216.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Hyaloperonospora;Hyaloperonospora_brassicae
MH854739.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Botrytis;Botrytis_byssoidea
MH856435.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Botrytis;Botrytis_porri
JQ936290.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_solani
KU850546.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_eturmiunum
KY883819.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_triglochinicola
GU237762.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Paraboeremia;Paraboeremia_selaginellae
MG865574.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_pseudosyringae
KY703619.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Epicoccum;Epicoccum_thailandicum
FJ427049.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Epicoccum;Epicoccum_pimprinum
MN944491.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Sclerotinia;Sclerotinia_trifoliorum
KR632862.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_urerae
KC584238.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Stemphylium;Stemphylium_botryosum
LC228670.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Nervostroma;Nervostroma_depraedans
MH656752.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Ascochyta;Ascochyta_herbicola
KY979755.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Pseudopeyronellaea;Pseudopeyronellaea_eucalypti
MG386056.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Nothophoma;Nothophoma_acaciae
MW633475.1;Eukaryota;Ascomycota;dothideomyceta;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium_herbarum
Z99672.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Sclerotinia;Sclerotinia_tetraspora
GU237890.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Stagonosporopsis;Stagonosporopsis_loticola
AY198298.3;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_calotheca
MN244198.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Xenodidymella;Xenodidymella_camporesii
HQ643956.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Globisporangium;Globisporangium_viniferum
HQ643773.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Elongisporangium;Elongisporangium_senticosum
HQ643408.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Globisporangium;Globisporangium_abappressorium
MT730631.1;Eukaryota;Chytridiomycota;Opisthokonta;Spizellomycetales;Spizellomycetaceae;Gaertneriomyces;Gaertneriomyces_spectabilis
GQ244428.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Globisporangium;Globisporangium_emineosum
KJ707164.1;Eukaryota;Basidiomycota;Opisthokonta;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces_roseus
KT600411.1;Eukaryota;Ascomycota;dothideomyceta;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium_aciculare
MG865593.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_thermophila
EU882732.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Mollisiaceae;Acephala;Acephala_macrosclerotiorum
MG865548.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_nemorosa
MG865566.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_pinifolia
HQ643671.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Pythium;Pythium_kashmirense
HQ643681.2;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Globisporangium;Globisporangium_lucens
EU049205.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Hyaloperonospora;Hyaloperonospora_parasitica
MK394004.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_variabilis
AY211016.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_corydalis
AY198300.3;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_aparines
MT730745.1;Eukaryota;Chytridiomycota;Opisthokonta;Spizellomycetales;Powellomycetaceae;Geranomyces;Geranomyces_michiganensis
MH862963.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Heterophoma;Heterophoma_adonidis
KJ443356.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Phoma;Phoma_commelinicola
MG865576.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_psychrophila
KY970066.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;unidentified;Patellariopsis;Patellariopsis_atrovinosa
MK876378.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Calophoma;Calophoma_sandfjordenica
GU237837.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Vacuiphoma;Vacuiphoma_bulgarica
HQ643444.1;Eukaryota;Oomycota;Stramenopiles;Pythiales;Pythiaceae;Pythium;Pythium_apleroticum
JQ897481.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Stagonosporopsis;Stagonosporopsis_tanaceti
MW599272.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_myosuri
MG518642.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_acerina
AY364838.1;Eukaryota;Basidiomycota;Opisthokonta;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces_jilinensis
MH730801.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_argemones
JN906978.1;Eukaryota;Ascomycota;dothideomyceta;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium_aphidis
LT592939.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Nothophoma;Nothophoma_variabilis
MH730805.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_ranunculi
GU237714.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Stagonosporopsis;Stagonosporopsis_andigena
AF347031.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Pleosporaceae;Alternaria;Alternaria_alternata
MH730799.1;Eukaryota;Oomycota;Stramenopiles;Peronosporales;Peronosporaceae;Peronospora;Peronospora_cyparissiae
MH327825.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Didymella;Didymella_cari
GU237731.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Epicoccum;Epicoccum_henningsii
GU237792.1;Eukaryota;Ascomycota;dothideomyceta;Pleosporales;Didymellaceae;Stagonosporopsis;Stagonosporopsis_astragali
FN428895.1;Eukaryota;Basidiomycota;Opisthokonta;Cystobasidiales;unidentified;Occultifur;Occultifur_aff._externus_IMUFRJ_52018
KJ941072.1;Eukaryota;Ascomycota;sordariomyceta;Helotiales;Sclerotiniaceae;Myriosclerotinia;Myriosclerotinia_curreyana
