Sample_ID	ID_S	Name	run_name	flowcell	barcode	Site_A	Site	Field	date	Year	Month	Week	DOY	SampleType	S_vesicarium	P_desttructor	B_squamosa	comments
Q_17	Q_17	vanh_2022_1	VANH_2022_R1	FAS14998	17	VANH	A	SL5	2022-06-05	2022	6	24	155	Field	0	0	0	
Q_18	Q_18	vanh_2022_2	VANH_2022_R1	FAS14998	18	VANH	A	SL5	2022-06-07	2022	6	24	157	Field	0	0	0	
Q_19	Q_19	vanh_2022_3	VANH_2022_R1	FAS14998	19	VANH	A	SL5	2022-06-09	2022	6	24	159	Field	0	0	1	
Q_20	Q_20	vanh_2022_4	VANH_2022_R1	FAS14998	20	VANH	A	SL5	2022-06-12	2022	6	25	162	Field	0	0	0	
Q_21	Q_21	vanh_2022_5	VANH_2022_R1	FAS14998	21	VANH	A	SL5	2022-06-14	2022	6	25	164	Field	0	0	0	
Q_22	Q_22	vanh_2022_6	VANH_2022_R1	FAS14998	22	VANH	A	SL5	2022-06-16	2022	6	25	166	Field	0	0	0	
Q_23	Q_23	vanh_2022_7	VANH_2022_R1	FAS14998	23	VANH	A	SL5	2022-06-19	2022	6	26	169	Field	1	0	1	
Q_24	Q_24	vanh_2022_8	VANH_2022_R1	FAS14998	24	VANH	A	SL5	2022-06-21	2022	6	26	171	Field	0	0	0	
Q_25	Q_25	vanh_2022_9	VANH_2022_R1	FAS14998	25	VANH	A	SL5	2022-06-23	2022	6	26	173	Field	0	0	0	
Q_26	Q_26	vanh_2022_10	VANH_2022_R1	FAS14998	26	VANH	A	SL5	2022-06-26	2022	6	27	176	Field	11	0	0	
Q_27	Q_27	vanh_2022_11	VANH_2022_R1	FAS14998	27	VANH	A	SL5	2022-06-28	2022	6	27	178	Field	0	0	0	
Q_28	Q_28	vanh_2022_12	VANH_2022_R1	FAS14998	28	VANH	A	SL5	2022-06-30	2022	6	27	180	Field	0	0	0	
Q_29	Q_29	vanh_2022_13	VANH_2022_R1	FAS14998	29	VANH	A	SL5	2022-07-03	2022	7	28	183	Field	2	0	0	
Q_30	Q_30	vanh_2022_14	VANH_2022_R1	FAS14998	30	VANH	A	SL5	2022-07-07	2022	7	28	187	Field	0	2	0	
Q_31	Q_31	vanh_2022_15	VANH_2022_R1	FAS14998	31	VANH	A	SL5	2022-07-10	2022	7	29	190	Field	0	0	0	
Q_32	Q_32	vanh_2022_16	VANH_2022_R1	FAS14998	32	VANH	A	SL5	2022-07-12	2022	7	29	192	Field	1	0	0	
P_33	P_33	vanh_2022_17	VANH_2022_R2	FAS15036	33	VANH	A	SL5	2022-07-14	2022	7	29	194	Field	9	0	0	
P_34	P_34	vanh_2022_18	VANH_2022_R2	FAS15036	34	VANH	A	SL5	2022-07-17	2022	7	30	197	Field	12	1	0	
P_35	P_35	vanh_2022_19	VANH_2022_R2	FAS15036	35	VANH	A	SL5	2022-07-19	2022	7	30	199	Field	158	2	23	
P_36	P_36	vanh_2022_20	VANH_2022_R2	FAS15036	36	VANH	A	SL5	2022-07-21	2022	7	30	201	Field	14	0	1	
P_37	P_37	vanh_2022_21	VANH_2022_R2	FAS15036	37	VANH	A	SL5	2022-07-24	2022	7	31	204	Field	1	0	0	
P_38	P_38	vanh_2022_22	VANH_2022_R2	FAS15036	38	VANH	A	SL5	2022-07-26	2022	7	31	206	Field	4	0	0	
P_39	P_39	vanh_2022_23	VANH_2022_R2	FAS15036	39	VANH	A	SL5	2022-07-28	2022	7	31	208	Field	739	0	45	
P_40	P_40	vanh_2022_24	VANH_2022_R2	FAS15036	40	VANH	A	SL5	2022-07-31	2022	7	32	211	Field	551	95	50	
P_41	P_41	vanh_2022_25	VANH_2022_R2	FAS15036	41	VANH	A	SL5	2022-08-02	2022	8	32	213	Field	697	0	135	
P_42	P_42	vanh_2022_26	VANH_2022_R2	FAS15036	42	VANH	A	SL5	2022-08-04	2022	8	32	215	Field	45	0	13	
P_43	P_43	vanh_2022_27	VANH_2022_R2	FAS15036	43	VANH	A	SL5	2022-08-07	2022	8	33	218	Field	235	0	87	
P_44	P_44	vanh_2022_28	VANH_2022_R2	FAS15036	44	VANH	A	SL5	2022-08-09	2022	8	33	220	Field	499	0	136	
P_45	P_45	vanh_2022_29	VANH_2022_R2	FAS15036	45	VANH	A	SL5	2022-08-11	2022	8	33	222	Field	9672	4	313	
P_46	P_46	vanh_2022_30	VANH_2022_R2	FAS15036	46	VANH	A	SL5	2022-08-14	2022	8	34	225	Field	1604	120	0	
P_47	P_47	vanh_2022_31	VANH_2022_R2	FAS15036	47	VANH	A	SL5	2022-08-16	2022	8	34	227	Field	339	0	9	
P_48	P_48	vanh_2022_32	VANH_2022_R2	FAS15036	48	VANH	A	SL5	2022-08-18	2022	8	34	229	Field	162	1	6	
Y_01	Y_1	delf_2022_1	DELF_2022_R1	FAS11344	1	DELF	B	100	2022-06-05	2022	6	24	155	Field	0	0	2	
Y_02	Y_2	delf_2022_2	DELF_2022_R1	FAS11344	2	DELF	B	100	2022-06-07	2022	6	24	157	Field	0	0	1	
